Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.96,✓,0.96,0.04,✓,0.97,0.22,✓
ABAKIZ,0.96,0.55,✓,0.96,0.02,✓,0.91,0.19,✓
ABADOX,0.92,0.26,✓,0.95,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.31,✓,0.93,0.03,✓,0.93,0.28,✓
GASQOK,0.86,1.32,✓,0.82,0.05,✓,0.80,0.31,✓
ABEKIE,0.88,0.93,✓,0.88,0.14,✓,0.88,0.51,✓
NIWPUE01,N.A.,N.A.,–,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.77,0.24,✓,0.79,0.02,✓,0.85,0.00,✓
APUFEX,0.95,0.25,✓,0.80,0.03,✓,0.90,0.01,✓
ABEHAU,0.82,0.37,✓,0.81,0.07,✓,0.79,0.02,✓
TITTUO,0.75,0.62,✓,0.78,0.07,✓,0.64,0.02,✓
EGEYOG,0.66,0.41,✓,0.57,0.01,✓,0.54,0.01,✓
ABOBUP,0.88,0.57,✓,0.67,0.06,✓,0.70,0.02,✓
XIDTOW,0.84,1.23,✓,0.74,0.32,✓,0.78,0.03,✓
ACNCOB10,0.89,0.89,✓,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,0.72,0.44,✓,N.A.,N.A.,–,0.86,0.01,✓
ACAZFE,0.74,0.65,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.72,1.08,✓,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,0.82,0.81,✓,N.A.,N.A.,–,0.79,0.03,✓
DAJLAC,0.88,1.01,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.85,1.24,✓,0.81,0.06,✓,0.71,0.06,✓
CATSUL,0.83,0.70,✓,N.A.,N.A.,–,0.78,0.02,✓
HESMUQ01,0.80,0.94,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.91,0.90,✓,N.A.,N.A.,–,0.64,0.12,✓
ABEVAG,0.84,0.21,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.87,0.49,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.78,1.35,✓,N.A.,N.A.,–,0.66,0.32,✓
AFECIA,0.85,6.63,✓,0.85,0.33,✓,0.76,0.06,✓
ACOVUL,0.87,0.61,✓,N.A.,N.A.,–,0.68,0.11,✓
AFIXEV,0.74,1.41,✓,N.A.,N.A.,–,0.77,0.05,✓
ABAYAF,0.91,1.25,✓,0.92,0.32,✓,N.A.,N.A.,–
RULJAM,N.A.,N.A.,–,0.86,0.08,✓,N.A.,N.A.,–
